1s | 24.17 C
2s | 22.50 C
3s | 23.62 C
4s | 24.17 C
5s | 24.17 C
6s | 24.71 C
7s | 24.98 C
8s | 26.02 C
9s | 26.78 C
10s | 27.28 C
11s | 28.50 C
12s | 29.91 C
13s | 30.60 C
14s | 32.58 C
15s | 34.27 C
16s | 36.28 C
17s | 37.44 C
18s | 39.13 C
19s | 41.47 C
20s | 43.36 C
21s | 45.19 C
22s | 47.27 C
23s | 49.74 C
24s | 51.83 C
25s | 54.14 C
26s | 56.66 C
27s | 59.11 C
28s | 61.51 C
29s | 63.60 C
30s | 66.04 C
31s | 68.58 C
32s | 70.97 C
33s | 73.46 C
34s | 75.82 C
36s | 78.31 C
37s | 80.55 C
38s | 83.18 C
39s | 85.58 C
40s | 88.13 C
41s | 90.34 C
42s | 92.70 C
43s | 95.12 C
44s | 97.58 C
45s | 99.83 C
46s | 102.12 C
47s | 104.78 C
48s | 106.90 C
49s | 109.25 C
50s | 111.67 C
51s | 114.00 C
52s | 116.42 C
53s | 118.39 C
54s | 120.79 C
55s | 123.09 C
56s | 125.08 C
57s | 127.77 C
58s | 129.93 C
59s | 132.18 C
60s | 134.28 C
61s | 136.22 C
62s | 138.48 C
63s | 140.31 C
64s | 142.76 C
65s | 144.75 C
66s | 146.82 C
67s | 149.29 C
68s | 150.89 C
69s | 152.89 C
70s | 154.97 C
71s | 157.14 C
72s | 159.02 C
73s | 160.57 C
74s | 163.00 C
75s | 165.12 C
76s | 166.44 C
77s | 168.71 C
78s | 170.13 C
79s | 172.08 C
80s | 173.59 C
81s | 175.69 C
82s | 177.88 C
83s | 179.01 C
84s | 180.75 C
85s | 182.56 C
86s | 183.81 C
87s | 185.73 C
88s | 187.73 C
89s | 188.42 C
90s | 190.53 C
91s | 191.99 C
92s | 194.26 C
93s | 195.83 C
94s | 197.46 C
95s | 198.29 C
96s | 199.99 C
97s | 201.75 C
98s | 203.58 C
99s | 203.58 C
100s | 206.45 C
101s | 207.44 C
102s | 209.48 C
103s | 210.53 C
104s | 211.60 C
105s | 212.70 C
106s | 214.96 C
107s | 214.96 C
108s | 217.32 C
109s | 218.54 C
110s | 219.79 C
111s | 222.39 C
112s | 222.39 C
113s | 222.39 C
114s | 223.73 C
116s | 225.11 C
117s | 226.53 C
118s | 227.98 C
119s | 226.53 C
120s | 227.98 C
121s | 231.01 C
122s | 231.01 C
123s | 234.22 C
124s | 234.22 C
125s | 234.22 C
126s | 235.89 C
127s | 237.62 C
128s | 237.62 C
129s | 239.41 C
130s | 239.41 C
